IPProto,SrcIP,SrcPort,DstIp,DstPort,UID,App,PackageName,Proto,Status,Info,BytesSent,BytesRcvd,PktsSent,PktsRcvd,FirstSeen,LastSeen
17,10.215.173.1,57815,13.38.15.43,23643,10345,Agar.io,com.miniclip.agar.io,Protobuf,Closed,ec2-13-38-15-43.eu-west-3.compute.amazonaws.com,387,477,9,10,2026-06-26T21:33:05.097+02:00,2026-06-26T21:33:30.377+02:00
17,10.215.173.1,45983,10.215.173.2,53,10345,Agar.io,com.miniclip.agar.io,DNS,Closed,cm.sereng.miniclippt.com,70,102,1,1,2026-06-26T21:33:05.239+02:00,2026-06-26T21:33:05.259+02:00
17,10.215.173.1,3690,10.215.173.2,53,10345,Agar.io,com.miniclip.agar.io,DNS,Closed,8ab37f74-4794-4628-8307-91c290ab1b9c.goliath.atlas.bi.miniclippt.com,114,146,1,1,2026-06-26T21:33:05.265+02:00,2026-06-26T21:33:05.298+02:00
6,10.215.173.1,54596,63.184.135.179,443,10345,Agar.io,com.miniclip.agar.io,HTTPS,Closed,cm.sereng.miniclippt.com,2915,5574,16,17,2026-06-26T21:33:05.270+02:00,2026-06-26T21:33:31.760+02:00
17,10.215.173.1,3691,10.215.173.2,53,10345,Agar.io,com.miniclip.agar.io,DNS,Closed,ms.applovin.com,61,77,1,1,2026-06-26T21:33:05.294+02:00,2026-06-26T21:33:05.315+02:00
6,10.215.173.1,35872,18.196.114.187,443,10345,Agar.io,com.miniclip.agar.io,TLS,Closed,8ab37f74-4794-4628-8307-91c290ab1b9c.goliath.atlas.bi.miniclippt.com,3334,6102,14,14,2026-06-26T21:33:05.303+02:00,2026-06-26T21:33:31.760+02:00
17,10.215.173.1,16132,10.215.173.2,53,10345,Agar.io,com.miniclip.agar.io,DNS,Closed,newsfeed.miniclippt.com,69,181,1,1,2026-06-26T21:33:05.308+02:00,2026-06-26T21:33:05.331+02:00
6,10.215.173.1,59034,34.102.162.219,443,10345,Agar.io,com.miniclip.agar.io,HTTPS,Error,ms.applovin.com,6595,26794,12,13,2026-06-26T21:33:05.319+02:00,2026-06-26T21:33:07.189+02:00
6,10.215.173.1,55610,18.192.138.14,443,10345,Agar.io,com.miniclip.agar.io,TLS,Closed,newsfeed.miniclippt.com,2659,5687,10,9,2026-06-26T21:33:05.337+02:00,2026-06-26T21:33:31.757+02:00
17,10.215.173.1,33094,10.215.173.2,53,10345,Agar.io,com.miniclip.agar.io,DNS,Closed,prod-nf-assets.webeng.miniclip.com,80,144,1,1,2026-06-26T21:33:05.459+02:00,2026-06-26T21:33:05.479+02:00
